runtime,revenue,budget,imdb_score,average_director_score,average_actor_score,average_genre_score
178.0,760505847.0,237000000.0,7.9,7.914285714285714,6.3880952380952385,6.317483345832885
169.0,309404152.0,300000000.0,7.1,6.985714285714286,7.086437546193643,6.329371733837786
148.0,200074175.0,245000000.0,6.8,7.5,7.079999999999999,6.331770412448081
164.0,448130642.0,250000000.0,8.5,8.425,7.278831694621168,6.277070569918058
107.2010739856802,25517500.0,20000000.0,7.1,7.1,6.989147286821705,7.180165289256199
132.0,73058679.0,263700000.0,6.6,7.733333333333333,6.347037037037037,6.320961401001224
156.0,336530303.0,258000000.0,6.2,6.907692307692307,6.667863050927568,6.377217731241295
100.0,200807262.0,260000000.0,7.8,7.8,6.711111111111111,6.388959419621722
141.0,458991599.0,250000000.0,7.5,7.925,6.974750957854407,6.320961401001224
153.0,301956980.0,250000000.0,7.5,7.050000000000001,7.064267676767677,6.369918555722735
183.0,330249062.0,250000000.0,6.9,7.175000000000001,6.909523809523809,6.320961401001224
169.0,200069408.0,209000000.0,6.1,7.2875,6.901851851851852,6.320961401001224
106.0,168368427.0,200000000.0,6.7,7.1499999999999995,7.006666666666667,6.340533010592745
151.0,423032628.0,225000000.0,7.3,6.985714285714286,7.086437546193643,6.329371733837786
150.0,89289910.0,215000000.0,6.5,6.985714285714286,7.068985245408009,6.456918914278325
143.0,291021565.0,225000000.0,7.2,7.175000000000001,6.670634920634921,6.317483345832885
150.0,141614023.0,225000000.0,6.6,7.08,6.69047619047619,6.308292536642076
173.0,623279547.0,220000000.0,8.1,7.925,6.974750957854407,6.320961401001224
136.0,241063875.0,250000000.0,6.7,6.6,6.696718931475029,6.329371733837786
106.0,179020854.0,225000000.0,6.8,6.457142857142856,6.859999999999999,6.285039009147035
164.0,255108370.0,250000000.0,7.5,7.675000000000001,7.530555555555556,6.374109638917998
153.0,262030663.0,230000000.0,7.0,7.133333333333333,6.376190476190477,6.329371733837786
156.0,105219735.0,200000000.0,6.7,7.070588235294117,6.505092592592592,6.632100857331355
186.0,258355354.0,225000000.0,7.9,7.675000000000001,7.530555555555556,6.374109638917998
113.0,70083519.0,180000000.0,6.1,6.08,6.796581196581196,6.331091407630313
201.0,218051260.0,207000000.0,7.2,7.675000000000001,6.85034965034965,6.473853930659189
194.0,658672302.0,200000000.0,7.7,7.914285714285714,7.409090909090909,6.6071748507256345
147.0,407197282.0,250000000.0,8.2,7.0,6.905007368110817,6.320961401001224
131.0,65173160.0,209000000.0,5.9,6.666666666666667,6.5854030501089325,6.319282354790606
124.0,652177271.0,150000000.0,7.0,7.0,6.6706666666666665,6.319282354790606
143.0,304360277.0,200000000.0,7.8,7.5,7.4674999999999985,6.331770412448081
135.0,373377893.0,200000000.0,7.3,6.907692307692307,6.667863050927568,6.359675593512938
195.0,408992272.0,200000000.0,7.2,7.4,6.799565772669221,6.320961401001224
108.0,334185206.0,200000000.0,6.5,6.93125,6.8347961320522295,6.331091407630313
104.0,234360014.0,210000000.0,6.8,6.409999999999999,6.583333333333333,6.316835719898059
104.0,268488329.0,200000000.0,7.3,7.3,6.247919347919349,6.352910601447581
150.0,402076689.0,200000000.0,6.0,6.638461538461538,6.265000000000001,6.320961401001224
165.0,245428137.0,210000000.0,5.7,6.638461538461538,5.936111111111111,6.320961401001224
130.0,234903076.0,215000000.0,6.4,6.907692307692307,6.505952380952382,6.331091407630313
142.0,202853933.0,200000000.0,6.7,7.133333333333333,6.6873015873015875,6.317483345832885
125.0,172051787.0,170000000.0,6.8,7.175000000000001,6.5825,6.320961401001224
106.0,191450875.0,200000000.0,6.3,7.38,6.275986975986977,6.4127095565908
123.0,116593191.0,200000000.0,5.6,6.711111111111111,5.753508771929826,6.320961401001224
103.0,414984497.0,200000000.0,8.3,8.3,7.641111111111111,6.352910601447581
118.0,125320003.0,200000000.0,6.6,6.083333333333333,6.9112698412698395,6.320961401001224
140.0,350034110.0,190000000.0,7.2,7.2,6.541700404858299,6.37297768028283
123.0,202351611.0,190000000.0,7.0,7.1499999999999995,6.8578431372549025,6.2241338484342545
149.0,233914986.0,200000000.0,8.0,7.2875,6.894920634920635,6.316835719898059
132.0,228756232.0,190000000.0,7.8,7.449999999999999,7.159824561403508,6.320961401001224
114.0,65171860.0,195000000.0,6.3,7.2875,6.797222222222222,6.374109638917998
143.0,144812796.0,105000000.0,7.3,7.12,7.336363636363636,6.6071748507256345
116.0,90755643.0,200000000.0,6.6,6.8428571428571425,6.538333333333334,6.359675593512938
131.0,101785482.0,190000000.0,7.0,7.140000000000001,6.504166666666666,6.320961401001224
154.0,352358779.0,195000000.0,6.3,6.638461538461538,6.2250000000000005,6.320961401001224
122.0,317011114.0,185000000.0,6.2,7.480769230769232,6.659731800766284,6.329371733837786
93.0,123070338.0,20000000.0,6.8,6.8,6.546666666666667,6.352910601447581
93.0,237282182.0,185000000.0,7.2,7.2,7.355,6.352910601447581
122.0,130468626.0,185000000.0,7.5,6.840000000000001,7.5,6.319282354790606
98.0,223806889.0,180000000.0,8.4,7.733333333333333,6.709444444444444,6.386019070558123
91.0,140080850.0,140000000.0,6.2,6.409999999999999,6.350000000000001,6.328544691836054
158.0,166112167.0,200000000.0,5.8,6.1875,6.663095238095238,6.320961401001224
96.0,137850096.0,200000000.0,6.8,7.307692307692308,6.693011793698293,6.472974928036733
127.0,47375327.0,176000000.0,5.4,6.916666666666665,6.512987012987012,6.320961401001224
110.0,124051759.0,180000000.0,6.6,7.050000000000001,6.714814814814815,6.473853930659189
150.0,291709845.0,180000000.0,6.9,7.08,6.734444444444445,6.331091407630313
